Week_Start,Country_Code,Total_Events,Media_Volume,Total_Sources,Total_Mentions,Avg_Articles_Per_Event,Source_Diversity,Media_Tone,Avg_Goldstein,Root_Event_Count,Positive_Event_Count,Negative_Event_Count
2025-11-02,SG,314,2304,316,2408,7.3375796178343959,1.0063694267515924,-0.76229924237512448,2.85796178343949,214,141,165
2025-11-09,SG,293,2339,293,2359,7.9829351535836182,1.0,-0.24923217760418331,3.5822525597269621,229,150,139
2025-11-16,SG,341,2379,341,2409,6.9765395894428153,1.0,0.50633075953909812,3.1680351906158353,229,198,134
2025-11-23,SG,565,3375,583,3471,5.9734513274336285,1.0318584070796459,-1.3948229832629653,3.0596460176991149,421,176,380
2025-11-30,SG,521,3187,533,3251,6.1170825335892518,1.023032629558541,-2.1372019009174297,3.0485604606525913,376,122,388
2025-12-07,SG,312,2348,317,2388,7.5256410256410255,1.0160256410256412,-0.0727173852144089,3.4124999999999996,227,141,167
2025-12-14,SG,243,1758,245,1768,7.2345679012345663,1.0082304526748971,0.30934678048893943,3.2555555555555555,183,134,104
2025-12-21,SG,256,2042,257,2072,7.9765624999999991,1.0039062500000002,0.25379404383643495,2.806640625,211,145,105
2025-12-28,SG,207,1518,207,1548,7.3333333333333339,1.0,0.31922299331715431,2.86231884057971,166,105,94
2026-01-04,SG,230,1793,230,1827,7.7956521739130453,1.0,0.14095669437077149,2.5230434782608695,181,127,101
2026-01-11,SG,373,2400,373,2414,6.4343163538873984,1.0,0.23334451242458862,3.114209115281501,318,207,159
2026-01-18,SG,266,1948,268,2018,7.3233082706766908,1.0075187969924813,-0.086082938469297737,2.2466165413533834,207,128,126
2026-01-25,SG,368,2891,376,2947,7.8559782608695654,1.0217391304347825,1.5138313751831911,3.0641304347826095,317,270,84
2026-02-01,SG,321,2678,324,2786,8.342679127725857,1.0093457943925233,0.092749533900203518,2.5202492211838008,282,186,128
2026-02-08,SG,432,3029,436,3039,7.0115740740740735,1.0092592592592593,-1.4316791070638086,2.6206018518518515,291,166,239
2026-02-15,SG,347,2518,348,2587,7.2564841498559058,1.0028818443804035,-0.77468219015731665,2.9985590778097984,271,172,172
2026-02-22,SG,372,2328,404,2348,6.258064516129032,1.0860215053763442,-0.9931094907793554,3.0276881720430104,224,120,246
2026-03-01,SG,313,2275,313,2315,7.2683706070287535,1.0,-1.2216947203364679,2.447603833865815,199,132,169
2026-03-08,SG,300,2318,302,2318,7.7266666666666648,1.0066666666666666,-0.71701468813306879,2.621,213,127,161
2026-03-15,SG,263,2110,267,2198,8.0228136882129277,1.0152091254752851,-0.01374032394197091,2.984410646387833,190,148,107
2026-03-22,SG,355,2788,362,2836,7.8535211267605618,1.0197183098591549,-0.075862868588936511,3.0498591549295773,270,182,158
2026-03-29,SG,245,2008,248,2008,8.1959183673469376,1.0122448979591836,0.028867539544796011,3.2248979591836733,172,120,113
2026-04-05,SG,326,2305,377,2415,7.0705521472392627,1.156441717791411,-0.90411081067920451,3.0104294478527609,212,131,189
2026-04-12,SG,250,1793,266,1861,7.172,1.064,-0.13718838416332968,3.1212,218,126,113
2026-04-19,SG,378,2389,378,2519,6.3201058201058204,1.0,0.83075434171638418,2.9410052910052915,278,226,138
2026-04-26,SG,276,2041,278,2101,7.3949275362318838,1.0072463768115942,-0.23436804461984986,2.9793478260869568,213,132,133
2026-05-03,SG,310,2307,313,2347,7.4419354838709673,1.0096774193548388,-0.56553648985386418,2.9732258064516128,257,143,153
2026-05-10,SG,368,2665,399,2702,7.2418478260869561,1.0842391304347829,-0.43640649100107159,3.0570652173913042,245,164,192
2026-05-17,SG,354,2772,372,2840,7.8305084745762707,1.0508474576271187,-0.66800856065708936,2.8531073446327686,255,137,195
2026-05-24,SG,534,3573,547,3685,6.691011235955056,1.0243445692883897,-1.7734847032972922,2.8752808988764045,345,129,394
2026-05-31,SG,343,2648,348,2678,7.7201166180758021,1.0145772594752185,-0.67826887732982943,3.4603498542274047,259,157,173
2026-06-07,SG,445,3333,454,3437,7.4898876404494388,1.0202247191011236,0.081379661980344312,3.07752808988764,345,233,199
2026-06-14,SG,319,2506,336,2566,7.8557993730407523,1.0532915360501567,0.1309495813330509,2.7746081504702196,228,161,149
2026-06-21,SG,281,2094,281,2132,7.4519572953736644,1.0,0.62121033023156,3.2971530249110321,217,164,106
2026-06-28,SG,295,2521,310,2603,8.5457627118644073,1.0508474576271187,0.14105425048747716,2.3301694915254236,223,154,133
2026-07-05,SG,303,2457,303,2521,8.1089108910891081,1.0,0.72237584731205218,3.1227722772277229,257,180,108
2026-07-12,SG,394,2970,411,3050,7.5380710659898469,1.0431472081218276,-0.14000544385622668,2.9027918781725885,261,181,200
2026-07-19,SG,334,2386,338,2430,7.1437125748502979,1.0119760479041917,0.050600080012753276,2.9625748502994007,223,144,182
2026-07-26,SG,395,2890,401,3042,7.3164556962025316,1.0151898734177216,0.1127999838924488,2.8182278481012659,304,219,147
2026-08-02,SG,291,2117,291,2128,7.2749140893470789,1.0,-0.42996038059560227,3.3577319587628867,179,140,140
2026-08-09,SG,318,2171,320,2206,6.8270440251572326,1.0062893081761006,-0.41787178264354269,3.2295597484276732,196,152,159
2026-08-16,SG,329,2465,332,2539,7.4924012158054714,1.0091185410334347,-0.5816783511814787,3.2136778115501525,228,144,182
2026-08-23,SG,136,1009,137,1051,7.4191176470588225,1.0073529411764706,-0.066754321764890392,2.9330882352941177,85,76,60
2023-01-01,UK,11253,59661,12309,61095,5.3017861903492332,1.0938416422287365,-0.8439658662316154,2.95040433662135,6652,4333,6635
2023-01-08,UK,16478,85851,18255,87703,5.2100376259254748,1.1078407573734717,-0.78486162694803385,2.9822915402354568,9842,6629,9405
2023-01-15,UK,14558,79197,16142,80906,5.4401016623162564,1.1088061546915777,-0.6775910976598537,2.9166437697485894,8968,6110,8119
2023-01-22,UK,13097,73371,14930,74798,5.6021226235015646,1.1399557150492474,-0.7736079155218758,2.8685882263113687,8025,5353,7427
2023-01-29,UK,14054,76170,15605,78592,5.4198093069588795,1.1103600398463072,-0.92867348114043258,2.864970826810874,8492,5622,8135
2023-02-05,UK,17648,92988,20203,94980,5.2690389845874908,1.1447756119673624,-0.48768412225683161,2.9625679963735267,10395,7493,9602
2023-02-12,UK,14267,77689,16639,79238,5.4453634260881723,1.1662577977150059,-0.64281406189612222,3.0892619331324047,8732,6009,7963
2023-02-19,UK,14920,77512,16622,79050,5.1951742627345867,1.1140750670241293,-0.520160486302723,3.0300268096514742,8632,6343,8261
2023-02-26,UK,15237,82293,16817,84192,5.4008663122661931,1.1036949530747522,-0.385947630030754,2.9096147535604113,9275,7061,7756
2023-03-05,UK,15019,82885,16802,84271,5.5186763432984884,1.1187162926959178,-0.362268272272929,2.8963379719022591,9005,7022,7636
2023-03-12,UK,14846,78003,15855,79998,5.2541425299744029,1.06796443486461,-0.23480338570385265,2.9206991782298277,9098,7015,7447
2023-03-19,UK,17284,87110,18435,89414,5.0399213145105319,1.0665933811617676,-0.9882047277496615,2.62009951400139,10365,6645,10317
2023-03-26,UK,23707,119452,25687,122603,5.0386805584848346,1.0835196355506826,-0.53612967574719983,2.8710212173619571,14154,10422,12594
2023-04-02,UK,20136,98250,21717,100599,4.8793206197854575,1.0785160905840276,-0.29432299811794321,2.9579757647993628,11924,9755,9900
2023-04-09,UK,23116,113741,26036,116352,4.9204447136182745,1.1263194324277577,-0.093716145258850331,2.8354732652708061,14235,11935,10561
2023-04-16,UK,20838,103568,22754,107270,4.9701506862462823,1.0919474037815542,-0.27556803595154128,2.8949275362318834,12719,10064,10293
2023-04-23,UK,23066,119110,25348,122881,5.1638775687158551,1.0989334951877219,-0.50476677276833859,3.025101881557271,13768,10448,12142
2023-04-30,UK,28200,135384,30270,139161,4.8008510638297865,1.0734042553191485,0.83334649752115353,2.7624361702127667,17099,17597,9970
2023-05-07,UK,23073,114133,24875,117510,4.94660425605686,1.0780999436570871,0.25793824934592791,2.8003033849087688,14293,12546,10046
2023-05-14,UK,21935,109737,23501,112154,5.0028265329382275,1.0713927513106911,-0.19485821254285401,3.02413494415318,13320,10065,11292
2023-05-21,UK,20406,104214,21989,106966,5.1070273448985573,1.0775752229736355,-0.3927436817425955,2.9729491326080546,12921,9266,10612
2023-05-28,UK,17219,88747,18452,91540,5.1540159126546268,1.0716069458156685,-0.25951970863407547,2.9064637899994192,10956,8022,8781
2023-06-04,UK,20666,107932,22459,111230,5.22268460272912,1.086760863253653,-0.49867649010562881,2.9346462789122203,12976,9190,10985
2023-06-11,UK,19785,101405,20927,104064,5.1253474854687937,1.0577204953247403,-0.36052957016226095,3.0042102602982053,12404,8934,10398
2023-06-18,UK,20531,106597,22282,109547,5.1920023379280131,1.0852856655788814,-0.19368007866838624,3.1162339876284646,13047,9762,10233
2023-06-25,UK,18015,97544,19680,100055,5.414598945323343,1.0924229808492927,-0.28538206919251946,2.9790674437968354,11621,8500,8985
2023-07-02,UK,18642,98926,20507,101539,5.3066194614311728,1.1000429138504455,-0.14632116710410595,2.9049350928012023,11686,9223,8942
2023-07-09,UK,19276,100210,20774,102660,5.1986926748288029,1.0777132185100642,-0.25870928082743683,2.9465708653247566,12065,9127,9594
2023-07-16,UK,17597,94468,18914,97000,5.3684150707506975,1.0748423026652274,-0.580428003832011,3.0020401204750833,11127,7561,9605
2023-07-23,UK,15778,84110,16655,86256,5.3308404106984453,1.0555837241728987,-0.71054138433980385,2.9972113068830017,10049,6664,8695
2023-07-30,UK,14830,76838,15799,78844,5.1812542144302087,1.0653405259608901,-0.50654711464796565,3.0515778826702631,9324,7030,7536
2023-08-06,UK,15340,81648,16458,83881,5.3225554106910016,1.0728813559322039,-0.77886670660656354,2.9838657105606239,9878,6333,8539
2023-08-13,UK,15093,80947,16539,82942,5.3632147353077579,1.0958060027827463,-0.50423216957449724,2.943748757702247,9768,6608,8004
2023-08-20,UK,16691,85694,17785,87957,5.1341441495416689,1.065544305314241,-0.62829676989058769,2.94168114552753,10392,7592,8701
2023-08-27,UK,17086,89069,18357,91417,5.2129813882710989,1.0743883881540459,-0.49559950704106509,2.8549046002575209,10857,7528,9123
2023-09-03,UK,19792,101691,21386,104032,5.1379850444624084,1.0805375909458363,-0.19688615489209735,3.0617926434923195,12420,9744,9609
2023-09-10,UK,18704,95701,19984,98367,5.1166060735671488,1.0684345594525233,-0.395794719327948,3.0371471343028222,11530,8675,9547
2023-09-17,UK,18429,93919,19379,96590,5.0962613272559576,1.0515491887785562,-0.38743999756792491,2.9469314667100761,11404,8501,9508
2023-09-24,UK,18155,93404,19332,95938,5.1448085926741918,1.0648306251721291,-0.49351529588768517,2.9040539796199405,11468,8251,9469
2023-10-01,UK,18777,98349,20360,100684,5.2377376577728043,1.0843052670820683,-0.37481262375974117,3.0297385098791061,11844,8657,9652
2023-10-08,UK,19431,99243,21786,101942,5.1074571560907813,1.1211980855334263,-0.96038164693797645,2.8748854922546458,11542,7614,11403
2023-10-15,UK,19001,101754,21221,104492,5.355191832008841,1.116835956002316,-1.2335699531806521,2.7538129572127796,11765,7112,11487
2023-10-22,UK,19769,102976,22152,105159,5.2089635287571472,1.1205422631392583,-1.065254727952941,2.7507612929333796,11853,7749,11667
2023-10-29,UK,20206,104187,22181,106480,5.1562407205780438,1.0977432445808168,-0.88211870941393533,2.6375185588439076,12638,8311,11336
2023-11-05,UK,18782,97712,20476,103289,5.2024278564583115,1.0901927377276124,-0.737131445875328,2.6017995953572544,11549,7929,10414
2023-11-12,UK,20896,107598,22330,110208,5.1492151607963272,1.0686255742725881,-0.51657853737514325,2.698760528330781,12553,9411,10983
2023-11-19,UK,17873,96673,19812,99538,5.4088849101997418,1.1084876629552958,-0.20907077196719537,2.9592681698651613,11439,8472,8864
2023-11-26,UK,20536,108976,22665,111722,5.3065835605765495,1.103671601090767,-0.50001448768594625,2.9311355668095054,12571,8726,11280
2023-12-03,UK,18056,94041,19466,96626,5.2082964111652661,1.0780903854674349,-0.50269588624522732,2.9464222419140467,11056,7849,9762
2023-12-10,UK,17402,91468,18710,94664,5.256177450867713,1.0751637742788176,-0.50792979751038159,2.9773186990001137,10892,7747,9236
2023-12-17,UK,16090,86311,17577,88317,5.3642635177128648,1.0924176507147296,-0.68455586595510076,3.0532193909260403,9814,7063,8690
2023-12-24,UK,11585,60549,12712,62040,5.2264997842037131,1.0972809667673709,-0.47674840888413911,3.102270176952957,6864,5245,6114
2023-12-31,UK,13992,71568,15028,73022,5.1149228130360207,1.074042309891367,-1.0746280567195716,2.9377001143510575,8343,5441,8201
2024-01-07,UK,17868,94356,19182,96754,5.28072531900604,1.0735392881128267,-0.96582662696751609,2.9543821356615179,10821,7045,10426
2024-01-14,UK,17642,96843,19666,99897,5.4893436118353938,1.1147262215168356,-0.85113477213009836,3.0390091826323511,10893,7039,10209
2024-01-21,UK,18052,94165,19120,96675,5.2163195213826778,1.0591624196764902,-0.79168756922997985,2.8836693995125189,11206,7446,10230
2024-01-28,UK,19005,100016,20867,101935,5.2626151012891356,1.0979742173112339,-0.907086529727143,3.1184162062615104,11236,8002,10631
2024-02-04,UK,22515,113666,25016,116653,5.0484565844992231,1.1110815012214079,-0.25489811125682038,2.8961270264268273,13332,11220,10672
2024-02-11,UK,18454,91788,19729,94436,4.9738810014089063,1.06909071204075,-0.32693989462174661,2.8431071854340511,11561,8834,9156
2024-02-18,UK,19942,102144,22050,104903,5.1220539564737733,1.1057065489920772,-0.66558796385637575,2.9592819175609266,12178,8701,10638
2024-02-25,UK,18797,95622,20049,98014,5.0870883651646528,1.0666063733574502,-0.55883924719528322,2.9333085066765983,11471,8343,9948
2024-03-03,UK,18419,97251,19953,99801,5.2799283348716,1.0832835658830553,-0.423847982232556,2.9906183831912716,11610,8494,9509
2024-03-10,UK,18167,94339,19472,97295,5.1928771949138506,1.0718335443386355,-0.38637120859876434,3.0133538834149824,11507,8462,9267
2024-03-17,UK,18740,97106,20171,99858,5.1817502668089643,1.0763607257203842,-0.2478717830097584,3.0115474919957297,11355,9180,9144
2024-03-24,UK,17342,90268,18591,92694,5.2051666474455072,1.0720216814669594,-0.39478409890777166,2.9944412409180017,10866,8249,8713
2024-03-31,UK,16295,86686,17775,89259,5.3197913470389713,1.0908254065664313,-0.6734194831804825,2.7344829702362672,10147,7095,8830
2024-04-07,UK,17146,86712,18325,89350,5.0572728333138972,1.0687623935611799,-0.54706386656895012,3.0555698122010972,10318,7841,8900
2024-04-14,UK,17758,93086,19176,95136,5.2419191350377305,1.0798513346097536,-0.83066171213785356,2.9444757292487873,10922,7317,10071
2024-04-21,UK,19785,106495,21938,108857,5.3826130907252958,1.1088198129896394,-0.43698153992030531,2.9670103613848879,12363,9308,9986
2024-04-28,UK,20525,106840,22765,109520,5.2053593179049882,1.1091352009744209,-0.39990774666381013,2.8283507917174195,12714,9525,10618
2024-05-05,UK,17960,95406,19626,98030,5.312138084632517,1.0927616926503347,-0.30743147254651171,2.8350334075723844,11067,8667,8891
2024-05-12,UK,18974,97382,20434,100775,5.13239169389691,1.0769474017076015,-0.318717750323493,2.9779276905238765,11908,9084,9407
