Country_Name,Category,Search_Velocity,Search_Acceleration,Media_Volume,tone_net_sentiment,tone_polarity,tone_activity_density,Source_Diversity,Inflation_Rate,Internet_Penetration,holiday_count,Search_Velocity_Lag1,Search_Velocity_Lag2
France,Fitness_Wearables,6.11999999999999,2.1899999999999835,23.0,-0.03,6.82,19.94,19.0,0.943770212469976,88.65381638,0,3.930000000000007,3.1499999999999986
France,Fitness_Wearables,-1.9500000000000028,-8.069999999999993,26.0,0.49,5.67,20.63,22.0,0.943770212469976,88.65381638,0,6.11999999999999,3.930000000000007
France,Fitness_Wearables,9.700000000000005,11.650000000000006,34.0,-0.99,6.64,20.53,28.0,0.943770212469976,88.65381638,0,-1.9500000000000028,6.11999999999999
France,Fitness_Wearables,-2.019999999999996,-11.72,10.0,-0.6,5.66,21.77,7.0,0.943770212469976,88.65381638,0,9.700000000000005,-1.9500000000000028
France,Nutrition_Diets,-0.5700000000000003,-1.720000000000006,9243.0,-1.66,7.45,21.88,2617.0,0.943770212469976,88.65381638,0,1.1500000000000057,-4.350000000000001
France,Nutrition_Diets,-1.1400000000000006,-0.5700000000000003,8985.0,-1.44,7.37,21.58,2494.0,0.943770212469976,88.65381638,0,-0.5700000000000003,1.1500000000000057
France,Nutrition_Diets,5.549999999999997,6.689999999999998,11130.0,-1.55,7.49,21.71,2808.0,0.943770212469976,88.65381638,0,-1.1400000000000006,-0.5700000000000003
France,Nutrition_Diets,-5.109999999999999,-10.659999999999997,1455.0,-0.64,7.2,21.7,924.0,0.943770212469976,88.65381638,0,5.549999999999997,-1.1400000000000006
United_Kingdom,Fashion_Beauty,-1.0500000000000045,-0.4100000000000037,9.0,-0.14,6.84,18.59,4.0,3.88306881626,95.4720993,0,-0.6400000000000006,-0.759999999999998
United_Kingdom,Fashion_Beauty,5.790000000000006,6.8400000000000105,12.0,-0.63,5.23,17.94,8.0,3.88306881626,95.4720993,0,-1.0500000000000045,-0.6400000000000006
United_Kingdom,Fashion_Beauty,7.799999999999997,2.009999999999991,7.0,0.82,5.54,18.8,6.0,3.88306881626,95.4720993,0,5.790000000000006,-1.0500000000000045
