Week_Start,Country_Code,Country_Name,Category,Search_Interest,Search_Velocity,Search_Acceleration
2023-01-22,CN,China,Fashion_Beauty,10.81,-0.37,1.37
2023-01-22,CN,China,Fitness_Wearables,24.01,-8.91,-16.71
2023-01-22,CN,China,Nutrition_Diets,6.17,1.06,1.06
2023-01-22,DE,Germany,Fashion_Beauty,47.04,0.11,-2.46
2023-01-22,DE,Germany,Fitness_Wearables,74.35,-3.4,2.73
2023-01-22,DE,Germany,Nutrition_Diets,46.57,-1.45,-0.29
2023-01-22,FR,France,Fashion_Beauty,35.79,-0.24,-5.22
2023-01-22,FR,France,Fitness_Wearables,58.82,-0.74,3.48
2023-01-22,FR,France,Nutrition_Diets,38.92,1.48,1.4
2023-01-22,GB,United_Kingdom,Fashion_Beauty,51.4,0.7,0.82
2023-01-22,GB,United_Kingdom,Fitness_Wearables,74.84,0.2,6.93
2023-01-22,GB,United_Kingdom,Nutrition_Diets,77.22,-2,4.79
2023-01-22,IN,India,Fashion_Beauty,57.64,3.21,2.84
2023-01-22,IN,India,Fitness_Wearables,75.51,-1.02,-0.68
2023-01-22,IN,India,Nutrition_Diets,75.1,-0.65,-3.52
2023-01-22,JP,Japan,Fashion_Beauty,20,-0.24,-1.08
2023-01-22,JP,Japan,Fitness_Wearables,27.32,-1.11,-0.23
2023-01-22,JP,Japan,Nutrition_Diets,11.21,-0.49,-0.88
2023-01-22,KE,Kenya,Fashion_Beauty,84.62,-0.16,4.59
2023-01-22,KE,Kenya,Fitness_Wearables,73.37,2.31,5.57
2023-01-22,KE,Kenya,Nutrition_Diets,79.6,-1.44,-0.34
2023-01-22,MX,Mexico,Fashion_Beauty,55.03,2.58,5.7
2023-01-22,MX,Mexico,Fitness_Wearables,67.79,-0.44,5.32
2023-01-22,MX,Mexico,Nutrition_Diets,34.9,-0.72,7.11E-15
2023-01-22,NG,Nigeria,Fashion_Beauty,85.84,3.76,11.71
2023-01-22,NG,Nigeria,Fitness_Wearables,82.69,-2.86,-10.26
2023-01-22,NG,Nigeria,Nutrition_Diets,90.69,0.48,-4.97
2023-01-22,SG,Singapore,Fashion_Beauty,52.25,-2.2,-1.78
2023-01-22,SG,Singapore,Fitness_Wearables,66.47,4.88,7.57
2023-01-22,SG,Singapore,Nutrition_Diets,55.67,3.28,3.7
2023-01-22,US,United_States,Fashion_Beauty,44.51,1.9,2.25
2023-01-22,US,United_States,Fitness_Wearables,59.48,-2.4,-0.51
2023-01-22,US,United_States,Nutrition_Diets,62.86,-2.12,-2.03
2023-01-22,ZA,South_Africa,Fashion_Beauty,71.17,4.6,3.77
2023-01-22,ZA,South_Africa,Fitness_Wearables,91.04,0,4.13
2023-01-22,ZA,South_Africa,Nutrition_Diets,88.24,0.51,9.94
2023-01-29,AE,United_Arab_Emirates,Fashion_Beauty,66.26,0.36,0.97
2023-01-29,AE,United_Arab_Emirates,Fitness_Wearables,71.85,2.82,5.53
2023-01-29,AE,United_Arab_Emirates,Nutrition_Diets,71.1,0.09,2.2
2023-01-29,AU,Australia,Fashion_Beauty,58.19,-0.49,-0.49
2023-01-29,AU,Australia,Fitness_Wearables,85.2,1.85,0.1
2023-01-29,AU,Australia,Nutrition_Diets,83.09,0.75,2.56
2023-01-29,BR,Brazil,Fashion_Beauty,50.68,-1.23,-2.09
2023-01-29,BR,Brazil,Fitness_Wearables,73.27,2.1,3
2023-01-29,BR,Brazil,Nutrition_Diets,36.49,-1.06,0.65
2023-01-29,CA,Canada,Fashion_Beauty,63.29,-1.65,-3.52
2023-01-29,CA,Canada,Fitness_Wearables,75.92,-1.99,-2.73
2023-01-29,CA,Canada,Nutrition_Diets,81.28,-1.17,0.09
2023-01-29,CN,China,Fashion_Beauty,13.79,2.98,3.35
2023-01-29,CN,China,Fitness_Wearables,26.61,2.6,11.51
2023-01-29,CN,China,Nutrition_Diets,6.17,0,-1.06
2023-01-29,DE,Germany,Fashion_Beauty,44.58,-2.46,-2.57
2023-01-29,DE,Germany,Fitness_Wearables,71.62,-2.73,0.67
2023-01-29,DE,Germany,Nutrition_Diets,45.22,-1.35,0.1
2023-01-29,FR,France,Fashion_Beauty,29.68,-6.11,-5.87
2023-01-29,FR,France,Fitness_Wearables,57.97,-0.85,-0.11
2023-01-29,FR,France,Nutrition_Diets,39.24,0.32,-1.16
2023-01-29,GB,United_Kingdom,Fashion_Beauty,51.17,-0.23,-0.93
